arrest_date,race,charge_1_description,charge_1_type,charge_1_class,charge_2_description,charge_2_type,charge_2_class,charge_3_description,charge_3_type,charge_3_class,charge_4_description,charge_4_class,charge_4_type
2024-10-21 19:17:00,WHITE HISPANIC,FAILURE REPORT ACCIDENT/INJURY,F,2,IVC - AGG FLEEING/DAMAGE>$300 PROP,F,4,DRIVING ON SUSPENDED LICENSE,M,A,OBEDIENCE TO ANY TRAFFIC CONTROL DEVICE,L,
2024-10-21 19:14:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 16:20:00,BLACK,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-21 18:19:00,BLACK,BURGLARY - RESIDENTIAL,F,1,ROBBERY,F,2,AGG DOMESTIC BATTER/STRANGLE,F,2,VIOL SEX OFFENDER REGISTRATION,3,F
2024-10-21 18:48:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 19:23:00,BLACK,AGG BATTERY/PEACE OFFICER,F,2,AGG BATTERY/PEACE OFFICER,F,2,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,A,M
2024-10-21 18:39:00,WHITE HISPANIC,CRIM TRESPASS TO RESIDENCE,M,A,,,,,,,,,
2024-10-21 15:46:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-21 15:12:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,STOP AT STOP SIGN,,L,IVC - NOT WEARING SEAT BELT/DRIVER,P,
2024-10-21 17:48:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-21 16:45:00,BLACK,AGG UUW/LOADED-NO FCCA-FOID,F,4,AGG ASSAULT/USE DEADLY WEAPON,M,A,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,Z,
2024-10-21 17:41:00,BLACK,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,WRONG WAY ON ONE-WAY STREET,,P,,,,,,
2024-10-21 17:38:00,BLACK HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,DRIVING ON REVOKED LICENSE,M,A,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,IVC - TRANS/CARRY ALC LIQ/DRIVER,P,
2024-10-21 16:00:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-21 16:56:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,DISPLAY ST REG-FRONT/REAR,,L,OPERATE UNINSURED MTR VEHICLE,,P,UNLICENSED,P,
2024-10-21 16:50:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,NO VALID REGISTRATION,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-21 17:10:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 17:00:00,BLACK,CARRY CONCL FIR/PUB TRANSP,M,B,CTA - UNSAFE COND/CROSS BETWEEN CARS (98-126-1.6A),,L,,,,,,
2024-10-21 16:40:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 16:49:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 16:20:00,BLACK,PHONE HARASSMENT/NO CONVERSATION,M,B,,,,,,,,,
2024-10-21 16:45:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,
2024-10-21 16:35:00,BLACK,OBSTRUCTING IDENTIFICATION,M,A,ASSAULT - SIMPLE,M,C,CTA - UNSAFE COND/TAMPER W/EQUIP (98-126-1.6C),,L,,,
2024-10-21 16:03:00,BLACK,MFG 10>15 PILLS ECSTASY/ANALOG,F,1,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,4,URINATE OR DEFECATE ON PUBLIC WAY,,L,,,
2024-10-21 15:45:00,BLACK,CRIM DAMAGE TO PROPERTY <$500,M,A,OBSTRUCTING IDENTIFICATION,M,A,CRIMINAL TRESPASS TO LAND,M,B,ANNUAL GUN OFFENDER REGISTRATION,L,
2024-10-21 15:39:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 14:51:00,BLACK,AGG UUW/PERSON/<21,F,4,AGG UUW/PERSON/<21,F,4,UNLWFL USE CANNABIS/DRIVER,M,A,NO TURN SIGNALS-VIOLATION,L,
2024-10-21 15:26:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,,,,,,,,,
2024-10-21 15:11:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 14:05:00,BLACK,CANNABIS - MFG/DEL - 30-500 GRMS,F,3,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,
2024-10-21 14:42:00,BLACK,UUW - WEAPON - FELON POSSES WEAPON/2ND+,F,2,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,UNLWFL POSS CANNABIS/DRIVER,M,A,IVC - NOT WEARING SEAT BELT/DRIVER,P,
2024-10-21 14:40:00,BLACK,VIOL SEX OFFENDER REGISTRATION,F,3,,,,,,,,,
2024-10-21 13:21:00,WHITE HISPANIC,STOP AT STOP SIGN,,L,IVC - FAIL TO REDUCE SPEED,,P,IVC - TRANS/CARRY ALC LIQ/DRIVER,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-21 13:23:00,WHITE HISPANIC,RECEIVE/POSSESS/SELL  STOLEN VEHICLE,F,2,,,,,,,,,
2024-10-21 13:26:00,BLACK,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),,L,,,,,,,,,
2024-10-21 13:47:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,STOP AT STOP SIGN,,L,,,,,,
2024-10-21 12:20:00,WHITE HISPANIC,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,RETAIL THEFT/DISP MERCH/<$300,M,A,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,,,
2024-10-21 11:46:00,BLACK,RETAIL THEFT/DISP MERCH/<$300/PRECONV,F,4,,,,,,,,,
2024-10-21 13:08:00,BLACK,MURDER - FIRST DEGREE (ATTEMPT),F,M,,,,,,,,,
2024-10-21 12:23:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 11:43:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,CRIM TRES TO VEH/PHY CONTROL,M,A,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,Z,
2024-10-21 12:15:00,WHITE HISPANIC,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,,,,
2024-10-21 12:48:00,BLACK,AGG UUW/LOADED-NO FCCA-FOID,F,4,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,,,,
2024-10-21 12:47:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-21 12:29:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,THEFT LOST/MISLAID/PROP/<$500,M,B,ISSUANCE OF WARRANT,Z,
2024-10-21 12:30:00,WHITE HISPANIC,ANNUAL GUN OFFENDER REGISTRATION,,L,DISPLAY ST REG-FRONT/REAR,,L,,,,,,
2024-10-21 11:45:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 12:10:00,BLACK,UUW - WEAPON - CARRY/POSSESS FIREARM/1ST,M,A,POSS CANNABIS IN PRIV VEH NOT IN SEALED CONTAINER,,L,OBSTRUCTED FRONT WINDSHIELD,,P,IVC - NO STOP LIGHTS/ 1ST AND 2ND,P,
2024-10-21 11:52:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 11:54:00,BLACK,POSS CAN/>100-500 GRAM/1ST,F,4,GAMBLING - PLAY GAME OF CHANCE,M,A,,,,,,
2024-10-21 12:09:00,BLACK,FAILURE REPORT ACCIDENT/INJURY,F,2,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,
2024-10-21 11:26:00,WHITE,RETAIL THEFT/DISP MERCH/<$300/PRECONV,F,4,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-21 11:41:00,WHITE HISPANIC,CANC/REVOKE/SUSPEND REGIS/IL,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,ISSUANCE OF WARRANT,,Z,,,
2024-10-21 11:45:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 11:39:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 11:05:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 11:22:00,WHITE HISPANIC,SEX OFFENDER REGIS/FALSE INFO,F,3,,,,,,,,,
2024-10-21 08:42:00,BLACK,POSS CAN/>100-500 GRAM/1ST,F,4,DRIVING RVK/SUSP DUI/SSS 2ND,F,4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,CANC/REVOKE/SUSPEND REGIS/IL,A,M
2024-10-21 08:47:00,BLACK,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-21 08:52:00,BLACK,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-21 09:25:00,BLACK,ISSUANCE OF WARRANT,,Z,OPERATE UNINSURED MTR VEHICLE,,P,EXPIRATION OF REGISTRATION,,P,,,
2024-10-21 09:16:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 08:29:00,WHITE HISPANIC,VIO ORDER AFTER SERVED NOTICE,M,A,,,,,,,,,
2024-10-21 07:19:00,WHITE HISPANIC,DRIVING RVK/SUSP/SSS/MDDP ELIG,F,4,"FALSE,STOLEN,ALTERED TEMP.REGISTRATION PERMIT",,L,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-21 07:58:00,BLACK,MURDER - FIRST DEGREE,F,M,MURDER - STRONG PROBABILITY DEATH/INJURE,F,M,,,,,,
2024-10-21 07:50:00,WHITE HISPANIC,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 06:49:00,WHITE HISPANIC,CRIM DAMAGE TO PROPERTY <$500,M,A,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-21 06:01:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-21 06:30:00,ASIAN / PACIFIC ISLANDER,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 04:42:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,NEGLIGENT DRIVING,,L,,,
2024-10-21 02:10:00,WHITE,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,DRIVE TO LEFT OF CENTER,,L,"LANES, FAIL TO KEEP IN",,L,DRIVING ON SIDEWALKS/PARKWAYS,L,
2024-10-21 03:50:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,OBSTRUCTION OF TRAFFIC BY MOTORIST,,L,OPERATE UNINSURED MTR VEHICLE,,P,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,P,
2024-10-21 01:41:00,WHITE HISPANIC,UNLWFL POSS CANNABIS/DRIVER,M,A,VIOLATE CONCEAL/CARRY ACT,M,B,NO VALID REGISTRATION,,P,IVC - TRANS/CARRY ALC LIQ/DRIVER,P,
2024-10-21 03:04:00,WHITE HISPANIC,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-21 00:31:00,ASIAN / PACIFIC ISLANDER,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,DRIVE TO LEFT OF CENTER,,L,IVC - IMPROPER TURN AT INTERSECTION,,P,,,
2024-10-21 02:12:00,BLACK,VIOLATE ORDER PROTECTION,M,A,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,
2024-10-21 01:46:00,BLACK HISPANIC,CRIM TRES TO VEH/PHY CONTROL,M,A,,,,,,,,,
2024-10-21 00:53:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-21 00:45:00,WHITE,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-21 00:25:00,WHITE HISPANIC,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-21 01:00:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-21 01:00:00,BLACK,BATTERY - CAUSE BODILY HARM,M,A,,,,,,,,,
2024-10-21 00:13:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-21 01:00:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-20 23:00:00,WHITE HISPANIC,CRIMINAL TRESPASS TO LAND,M,B,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-20 23:00:00,BLACK HISPANIC,CRIMINAL TRESPASS TO LAND,M,B,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-21 00:34:00,BLACK,ISSUANCE OF WARRANT,,Z,IVC - NOT WEARING SEAT BELT/PASSENGER,,P,,,,,,
2024-10-21 00:20:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-21 00:26:00,WHITE HISPANIC,VIOLATE ORDER PROTECTION,M,A,,,,,,,,,
2024-10-20 23:37:00,BLACK,AGG UUW/LOADED-NO FCCA-FOID,F,4,AGG UUW/LOADED-NO FCCA-FOID,F,4,POSS/USE CANNABIS BY MINOR,,L,IVC - HEADLIGHT VIOLATION 1ST&2ND,P,
2024-10-20 23:30:00,WHITE,HOME INVASION/SEX OFFENSE,F,X,AGG CRIM SEXUAL ABUSE/FELONY (ATTEMPT),F,2,,,,,,
2024-10-20 23:06:00,WHITE HISPANIC,ASSAULT - SIMPLE,M,C,,,,,,,,,
2024-10-20 23:45:00,BLACK,ASSAULT - SIMPLE,M,C,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-20 22:20:00,WHITE,BATTERY - MAKE PHYSICAL CONTACT,M,A,CRIM TRESPASS TO STATE LAND,M,A,,,,,,
2024-10-20 22:33:00,BLACK,AGG UUW/PERSON/NO FOID,F,4,FLEEING/ATTEMPT ELUDE OFFICER,M,A,ISSUANCE OF WARRANT,,Z,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,L,
2024-10-20 22:47:00,BLACK,DRIVING ON REVOKED LICENSE,M,A,ANNUAL GUN OFFENDER REGISTRATION,,L,"FALSE,STOLEN,ALTERED TEMP.REGISTRATION PERMIT",,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-20 22:28:00,BLACK HISPANIC,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,ASSAULT - SIMPLE,M,C,,,,,,
2024-10-20 21:33:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-20 21:46:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,,,,
2024-10-20 21:26:00,BLACK,RECKLESS DRIVING,M,A,RECKLESS CONDUCT,M,A,,,,,,
2024-10-20 21:40:00,BLACK,CARRY CONCL FIR/PARK FACILITY,M,B,CARRY CONCL FIR/PARK FACILITY,M,B,HIGH CAP MAG AND METAL PIERCING BULLETS - SALE/POSS PROH,,L,,,
2024-10-20 21:26:00,BLACK,RECKLESS CONDUCT,M,A,,,,,,,,,
2024-10-20 22:27:00,BLACK,AGG UUW/PERSON/LOADED FIREARM,F,4,,,,,,,,,
2024-10-20 21:09:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,M,A,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-20 22:25:00,BLACK,ISSUANCE OF WARRANT,,Z,NO VALID REGISTRATION,,P,,,,,,
2024-10-20 21:30:00,WHITE,BATTERY - MAKE PHYSICAL CONTACT,M,A,BATTERY - MAKE PHYSICAL CONTACT,M,A,CRIMINAL TRESPASS TO LAND,M,B,,,
2024-10-20 20:27:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-20 21:36:00,WHITE HISPANIC,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,,,,,,,,,
2024-10-20 22:00:00,BLACK,DRIVING RVK/SUSP DUI/SSS 4-9,F,4,UNLWFL POSS CANNABIS/DRIVER,M,A,DRIVING ON REVOKED LICENSE,M,A,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-20 21:39:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,IVC - DRIVING UNDER INFLUENCE OF DRUG,M,A,LEAVING THE SCENE,M,A,FAIL GIVE INFO/RENDER AID/PROP,A,M
2024-10-20 21:42:00,BLACK,CANNABIS - MFG/DEL - 10-30 GRMS,F,4,SOLICITING UNLAWFUL BUSINESS,,L,,,,,,
2024-10-20 21:28:00,WHITE HISPANIC,DRIVING RVK/SUSP DUI/SSS 4-9,F,4,DRIVING ON REVOKED LICENSE,M,A,"LIGHT, TAIL LIGHTS REQUIRED",,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-20 20:27:00,WHITE HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-20 21:01:00,WHITE HISPANIC,AGG BATTERY/DISCHARGE FIREARM,F,X,AGG BATTERY/GREAT BODILY HARM,F,3,,,,,,
2024-10-20 20:12:00,WHITE HISPANIC,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,A,DRIVING/NEVER ISSUED LICENSE,M,B,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-20 20:26:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-20 21:21:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-20 21:10:00,BLACK HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,IVC - DISOBEY TRAFFIC CONTROL DEVICE,,P,OPERATE UNINSURED MTR VEHICLE,,P,,,
2024-10-20 20:32:00,WHITE,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-20 18:29:00,BLACK,ROBBERY - AGG ROBBERY/INDICATE ARM W/FIR,F,1,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-20 20:11:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-20 19:39:00,WHITE HISPANIC,DRIVING RVK/SUSP DUI/SSS 3RD,F,4,DRIVING ON REVOKED LICENSE,M,A,CITY VEH STICKER REQ/FAILURE TO OR IMPROPER DISPLAY,,L,"LIGHT, TAIL LIGHTS REQUIRED",L,
2024-10-20 19:15:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,CRIM DAMAGE TO PROPERTY <$500,M,A,,,,,,
2024-10-20 19:36:00,WHITE,DRIVING/NEVER ISSUED LICENSE,M,B,CITY VEH STICKER REQ/FAILURE TO OR IMPROPER DISPLAY,,L,IVC - DISPLAY PLATE ATTACHMENT - 1ST & 2ND,,P,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-20 18:49:00,BLACK,AGG UUW/LOADED-NO FCCA-FOID,F,4,,,,,,,,,
2024-10-20 20:12:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-20 19:58:00,BLACK,POSSESS REVOKED FIREARM FOID,F,3,DRIVING ON SUSPENDED LICENSE,M,A,"POSSESS OF A LASER SIGHT ACC,FIREARM SILENCER,MUFFLER",,L,HIGH CAP MAG AND METAL PIERCING BULLETS - SALE/POSS PROH,L,
2024-10-20 20:00:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-20 18:16:00,BLACK,AGG UUW/VEHICLE/NO FOID,F,4,,,,,,,,,
2024-10-20 19:41:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-20 18:56:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,,,,,,
2024-10-20 19:38:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,,L,,,,,,
2024-10-20 18:42:00,BLACK HISPANIC,RETAIL THEFT/DISP MERCH/<$300,M,A,,,,,,,,,
2024-10-20 18:51:00,BLACK HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,DISOBEY RED CIRCULAR STEADY SIGNAL STOP,,L,,,,,,
2024-10-20 17:40:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-20 18:46:00,BLACK,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,SOLICITING UNLAWFUL BUSINESS,,L,,,
2024-10-20 19:04:00,WHITE HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,LIGHT HEADLIGHTS SUNSET/SUNUP,,L,BROKEN OR CRACKED GLASS EXCEEDS SIX INCHES,,L,OPERATE UNINSURED MTR VEHICLE,P,
2024-10-20 18:05:00,WHITE HISPANIC,DRINKING ALCOHOL ON THE PUBLIC WAY,,L,,,,,,,,,
2024-10-20 17:12:00,BLACK,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL,M,A,IVC - DRIVING UNDER INFLUENCE OF ALCOHOL BAC 0.08,M,A,OPERATOR SIGNAL CHANGE LANE,,L,OPERATOR SIGNAL REQUIRED 100FT OF TURN,L,
2024-10-20 18:57:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-20 18:35:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-20 18:07:00,BLACK HISPANIC,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RECKLESS CONDUCT,M,A,ISSUANCE OF WARRANT,,Z,CTA - SMOKING ON (98-126-1.8),L,
2024-10-20 17:41:00,BLACK,FLEEING/ATTEMPT ELUDE OFFICER,M,A,STOP AT STOP SIGN,,L,NO VALID REGISTRATION,,P,UNLICENSED,P,
2024-10-20 16:00:00,WHITE HISPANIC,AGG BATTERY/TRANSIT EMPLOYEE,F,3,,,,,,,,,
2024-10-20 18:31:00,BLACK,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-20 18:16:00,BLACK,AGG UUW/VEHICLE/LOADED/NO FCCA,F,4,UNLWFL POSS CANNABIS/DRIVER,M,A,OBSTRUCTED FRONT WINDSHIELD,,P,,,
2024-10-20 18:05:00,WHITE,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,ISSUANCE OF WARRANT,,Z,,,,,,
2024-10-20 17:55:00,WHITE,FUGITIVE FROM JUSTICE - OUT OF STATE WARRANT,,Z,,,,,,,,,
2024-10-20 17:58:00,BLACK HISPANIC,DRIVING/NEVER ISSUED LICENSE,M,B,DOUBLE PARKING/NO STANDING,,L,,,,,,
2024-10-20 17:00:00,BLACK,CANC/REVOKE/SUSPEND REGIS/IL,M,A,,,,,,,,,
2024-10-20 17:55:00,WHITE,ISSUANCE OF WARRANT,,Z,,,,,,,,,
2024-10-20 17:25:00,BLACK,VIOLATE ORDER PROTECTION,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,A,ASSAULT - SIMPLE,C,M
2024-10-20 17:58:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - DRUG PARAPHERNALIA - POSSESS,M,A,,,,,,
2024-10-20 17:47:00,BLACK,BATTERY - MAKE PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-20 17:46:00,WHITE,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,,,,,,
2024-10-20 16:31:00,WHITE HISPANIC,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-20 17:11:00,WHITE,PCS - POSSESS 15<100 GRAMS COCAINE,F,1,OTHER AMT NARCOTIC SCHED I&II,F,2,OTHER AMT NARCOTIC SCHED I&II,F,2,PCS - DRUG PARAPHERNALIA - POSSESS,A,M
2024-10-20 17:07:00,BLACK,DRIVING ON SUSPENDED LICENSE,M,A,ISSUANCE OF WARRANT,,Z,DISPLAY ST REG-FRONT/REAR,,L,,,
2024-10-20 17:15:00,WHITE HISPANIC,AGG ASSAULT/USE DEADLY WEAPON,M,A,,,,,,,,,
2024-10-20 16:29:00,BLACK,AGG UUW/LOADED-NO FCCA-FOID,F,4,,,,,,,,,
2024-10-20 16:33:00,WHITE HISPANIC,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-20 16:36:00,WHITE HISPANIC,AGG ASSAULT/USE DEADLY WEAPON,M,A,AGG ASSAULT/USE DEADLY WEAPON,M,A,SALE OR POSSESSION OF DEADLY WEAPON,,L,,,
2024-10-20 16:22:00,WHITE,DOMESTIC BTRY/PHYSICAL CONTACT,M,A,,,,,,,,,
2024-10-20 15:15:00,BLACK,DOMESTIC BATTERY/BODILY HARM,M,A,,,,,,,,,
2024-10-20 16:14:00,BLACK,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,4,RIDING BICYCLE ON SIDEWALK,,L,,,
2024-10-20 15:56:00,BLACK,POSS AMMUNITION - W/O VALID FOID,M,A,,,,,,,,,
2024-10-20 15:41:00,BLACK,UUW -  WEAPON - POSSESS/CARRY /CONCEAL WEAPON,F,4,UNLWFL POSS CANNABIS/DRIVER,M,A,PARKING PROHIBITED-STANDING/PARKING POSTED,,L,,,
2024-10-20 15:44:00,WHITE,RETAIL THEFT/DISP MERCH/<$300,M,A,RETAIL THEFT - SWITCH PRICE<$300,M,A,,,,,,
2024-10-20 15:27:00,BLACK,UUW -  WEAPON - POSSESS/CARRY /CONCEAL WEAPON,F,4,"POSSESS OF A LASER SIGHT ACC,FIREARM SILENCER,MUFFLER",,L,,,,,,
2024-10-20 15:22:00,BLACK,AGG UUW/PERSON/LOADED/NO FCCA,F,4,RECKLESS CONDUCT,M,A,RECKLESS CONDUCT,M,A,"POSSESS OF A LASER SIGHT ACC,FIREARM SILENCER,MUFFLER",L,
2024-10-20 15:50:00,BLACK,ISSUANCE OF WARRANT,,Z,ISSUANCE OF WARRANT,,Z,,,,,,
